datetime,station_id,rain_3h,rain_zscore,flood_risk_label,extreme_tier,temp,pressure,humidity
2000-02-28 06:00:00,98444,23.0,1.5572412788558683,HIGH,extreme,26.6,1011.8,88.8
2000-02-28 12:00:00,98444,2.0,-0.05117807089485435,HIGH,extreme,26.1,1013.4,88.2
2000-02-28 18:00:00,98444,0.8,-0.14308774802346708,HIGH,extreme,24.4,1013.2,95.9
2000-02-29 00:00:00,98444,26.0,1.7870154716774003,HIGH,extreme,26.0,1013.8,89.3
2000-02-29 06:00:00,98444,23.0,1.5572412788558683,HIGH,extreme,26.0,1011.7,95.4
2000-03-01 06:00:00,98444,11.0,0.6381445075697411,MODERATE,extreme,24.5,1012.5,93.6
2000-03-02 00:00:00,98444,10.0,0.5615531099625638,MODERATE,extreme,26.8,1012.9,88.3
2000-03-02 03:00:00,98444,1.0,-0.1277694685020316,MODERATE,extreme,28.1,1013.2,82.3
2000-03-02 06:00:00,98444,3.0,0.025413326712322923,MODERATE,extreme,26.4,1010.6,87.2
2000-03-02 12:00:00,98444,3.0,0.025413326712322923,MODERATE,extreme,25.3,1011.6,90.9
2000-03-02 18:00:00,98444,4.0,0.1020047243195002,MODERATE,extreme,25.2,1011.0,94.8
2000-03-02 21:00:00,98444,1.0,-0.1277694685020316,MODERATE,extreme,25.0,1010.3,93.6
2000-03-03 00:00:00,98444,11.0,0.6381445075697411,MODERATE,extreme,24.8,1012.2,95.3
2000-03-03 03:00:00,98444,2.0,-0.05117807089485435,MODERATE,extreme,25.4,1012.0,89.2
2000-03-03 06:00:00,98444,21.0,1.4040584836415138,MODERATE,extreme,25.0,1010.0,95.3
2000-03-03 15:00:00,98444,4.0,0.1020047243195002,MODERATE,extreme,25.5,1011.2,95.3
2000-03-03 18:00:00,98444,11.0,0.6381445075697411,HIGH,extreme,26.0,1009.0,93.1
2000-03-03 21:00:00,98444,7.0,0.331778917141032,HIGH,extreme,24.8,1008.6,95.3
2000-03-04 06:00:00,98444,8.0,0.4083703147482093,MODERATE,extreme,28.0,1009.5,95.4
2000-03-04 12:00:00,98444,6.0,0.25518751953385477,MODERATE,extreme,26.8,1010.1,94.3
2000-03-04 18:00:00,98444,10.0,0.5615531099625638,MODERATE,extreme,25.0,1008.8,97.6
2000-03-04 21:00:00,98444,5.0,0.17859612192667748,MODERATE,extreme,24.9,1008.3,97.1
2000-03-05 00:00:00,98444,20.0,1.3274670860343365,MODERATE,extreme,24.6,1010.1,98.8
2000-03-06 09:00:00,98444,3.0,0.025413326712322923,MODERATE,extreme,26.6,1007.8,93.7
2000-03-06 12:00:00,98444,3.0,0.025413326712322923,LOW,extreme,26.2,1009.3,96.5
2000-03-07 00:00:00,98444,3.0,0.025413326712322923,LOW,extreme,26.2,1010.3,94.2
2000-03-08 06:00:00,98444,6.0,0.25518751953385477,LOW,extreme,30.0,1008.6,82.1
2000-03-08 09:00:00,98444,22.0,1.480649881248691,MODERATE,extreme,27.4,1008.6,94.3
2000-03-08 12:00:00,98444,25.0,1.710424074070223,HIGH,extreme,25.4,1011.1,96.5
2000-03-09 00:00:00,98444,27.0,1.8636068692845775,HIGH,extreme,,1011.8,
2000-03-09 09:00:00,98444,1.0,-0.1277694685020316,HIGH,extreme,28.6,1009.6,87.4
2000-03-11 00:00:00,98444,2.0,-0.05117807089485435,LOW,extreme,26.3,1012.1,94.2
2000-03-11 06:00:00,98444,11.0,0.6381445075697411,LOW,extreme,27.2,1010.4,89.9
2000-03-11 09:00:00,98444,1.0,-0.1277694685020316,LOW,extreme,27.3,1009.2,87.3
2000-03-11 12:00:00,98444,1.0,-0.1277694685020316,MODERATE,extreme,26.4,1010.8,89.3
2000-03-11 18:00:00,98444,0.8,-0.14308774802346708,MODERATE,extreme,,1009.7,
2000-03-12 00:00:00,98444,22.0,1.480649881248691,MODERATE,extreme,26.9,1011.2,92.6
2000-03-12 12:00:00,98444,0.8,-0.14308774802346708,MODERATE,extreme,26.6,1010.7,91.0
2000-03-13 00:00:00,98444,3.0,0.025413326712322923,MODERATE,extreme,26.1,1011.9,91.5
2000-03-15 18:00:00,98444,10.0,0.5615531099625638,LOW,extreme,25.9,1007.6,93.1
2000-03-15 21:00:00,98444,3.0,0.025413326712322923,LOW,extreme,25.3,1006.7,98.8
2000-03-16 00:00:00,98444,4.0,0.1020047243195002,MODERATE,extreme,26.6,1008.4,91.0
2000-03-17 00:00:00,98444,4.0,0.1020047243195002,MODERATE,extreme,25.2,1007.2,97.1
2000-03-17 03:00:00,98444,15.0,0.9445100979984502,MODERATE,extreme,24.4,1008.3,95.3
2000-03-17 06:00:00,98444,24.0,1.6338326764630455,MODERATE,extreme,24.2,1009.8,94.7
2000-03-17 09:00:00,98444,9.0,0.48496171235538654,HIGH,extreme,23.5,1005.2,89.6
2000-03-17 12:00:00,98444,10.0,0.5615531099625638,HIGH,extreme,25.0,1005.4,92.0
2000-03-17 21:00:00,98444,1.0,-0.1277694685020316,HIGH,extreme,25.0,1004.5,93.1
2000-03-18 00:00:00,98444,12.0,0.7147359051769183,HIGH,extreme,24.4,1006.6,97.0
2000-03-18 03:00:00,98444,9.0,0.48496171235538654,HIGH,extreme,24.6,1007.2,95.3
2000-03-19 00:00:00,98444,9.0,0.48496171235538654,MODERATE,extreme,25.0,1008.1,99.4
2000-03-19 12:00:00,98444,1.0,-0.1277694685020316,LOW,extreme,26.2,1007.3,94.2
2000-03-20 00:00:00,98444,1.0,-0.1277694685020316,LOW,extreme,26.2,1008.7,94.2
2000-03-20 06:00:00,98444,14.0,0.867918700391273,MODERATE,extreme,26.7,1007.2,94.8
2000-03-21 00:00:00,98444,15.0,0.9445100979984502,MODERATE,extreme,25.4,1010.0,97.1
2000-03-21 09:00:00,98444,12.0,0.7147359051769183,MODERATE,extreme,26.0,1007.7,96.5
2000-03-21 12:00:00,98444,16.0,1.0211014956056275,MODERATE,extreme,25.4,1009.7,96.5
2000-03-21 15:00:00,98444,18.0,1.174284290819982,HIGH,extreme,,1011.0,
2000-03-21 18:00:00,98444,18.0,1.174284290819982,HIGH,extreme,24.2,1008.9,100.0
2000-03-22 00:00:00,98444,28.0,1.9401982668917548,HIGH,extreme,24.8,1009.8,98.8
2000-03-22 09:00:00,98444,15.0,0.9445100979984502,HIGH,extreme,27.5,1008.5,90.5
2000-03-22 12:00:00,98444,15.0,0.9445100979984502,HIGH,extreme,26.8,1010.7,94.3
2000-03-22 15:00:00,98444,6.0,0.25518751953385477,HIGH,extreme,26.2,1011.5,96.5
2000-03-22 18:00:00,98444,6.0,0.25518751953385477,HIGH,extreme,25.4,1010.1,98.8
2000-03-23 00:00:00,98444,21.0,1.4040584836415138,HIGH,extreme,25.4,1011.6,97.1
2000-03-24 21:00:00,98444,0.8,-0.14308774802346708,LOW,extreme,25.2,1011.6,90.9
2000-03-25 00:00:00,98444,0.8,-0.14308774802346708,LOW,extreme,27.0,1012.6,88.3
2000-03-25 06:00:00,98444,14.0,0.867918700391273,MODERATE,extreme,26.0,1011.3,87.7
2000-03-25 09:00:00,98444,3.0,0.025413326712322923,MODERATE,extreme,26.6,1010.7,89.3
2000-03-25 12:00:00,98444,3.0,0.025413326712322923,MODERATE,extreme,25.8,1012.2,92.5
2000-03-25 15:00:00,98444,16.0,1.0211014956056275,MODERATE,extreme,25.0,1013.3,100.0
2000-03-25 18:00:00,98444,10.0,0.5615531099625638,MODERATE,extreme,24.8,1011.5,90.8
2000-03-25 21:00:00,98444,5.0,0.17859612192667748,HIGH,extreme,24.6,1011.0,97.0
2000-03-26 00:00:00,98444,33.0,2.323155254927641,HIGH,catastrophic,25.3,1013.1,99.4
2000-03-26 03:00:00,98444,3.0,0.025413326712322923,HIGH,extreme,27.7,1013.2,85.8
2000-03-26 06:00:00,98444,8.0,0.4083703147482093,HIGH,extreme,26.2,1009.5,95.4
2000-03-26 15:00:00,98444,4.0,0.1020047243195002,HIGH,extreme,25.0,1013.1,97.1
2000-03-26 18:00:00,98444,39.0,2.7827036405707046,EXTREME,catastrophic,24.4,1010.9,97.0
2000-03-26 21:00:00,98444,18.0,1.174284290819982,EXTREME,extreme,23.2,1010.8,97.0
2000-03-27 00:00:00,98444,80.0,5.922950942464973,EXTREME,catastrophic,23.5,1012.9,97.6
2000-03-27 03:00:00,98444,2.0,-0.05117807089485435,EXTREME,extreme,25.2,1012.9,94.8
2000-03-27 06:00:00,98444,2.0,-0.05117807089485435,EXTREME,extreme,28.7,1010.0,82.4
2000-03-28 00:00:00,98444,2.0,-0.05117807089485435,HIGH,extreme,27.4,1010.9,88.3
2000-03-28 18:00:00,98444,0.8,-0.14308774802346708,LOW,extreme,26.0,1011.6,92.6
2000-03-28 21:00:00,98444,21.0,1.4040584836415138,MODERATE,extreme,24.2,1011.6,98.8
2000-03-29 03:00:00,98444,7.0,0.331778917141032,MODERATE,extreme,25.5,1014.2,95.3
2000-03-30 00:00:00,98444,20.0,1.3274670860343365,MODERATE,extreme,26.8,1013.0,92.6
2000-03-30 03:00:00,98444,7.0,0.331778917141032,HIGH,extreme,27.6,1012.8,88.4
2000-03-30 21:00:00,98444,12.0,0.7147359051769183,MODERATE,extreme,25.3,1008.3,97.1
2000-03-31 03:00:00,98444,3.0,0.025413326712322923,MODERATE,extreme,29.4,1010.0,81.0
2000-03-31 21:00:00,98444,7.0,0.331778917141032,MODERATE,extreme,24.8,1008.6,97.6
2000-04-01 00:00:00,98444,13.0,0.7913273027840957,MODERATE,extreme,27.4,1010.3,86.8
2000-04-02 06:00:00,98444,2.0,-0.05117807089485435,LOW,extreme,29.9,1007.9,81.1
2000-04-03 00:00:00,98444,2.0,-0.05117807089485435,LOW,extreme,26.3,1010.7,90.4
2000-04-03 03:00:00,98444,3.0,0.025413326712322923,LOW,extreme,26.4,1010.3,89.9
2000-04-03 06:00:00,98444,12.0,0.7147359051769183,MODERATE,extreme,25.8,1008.9,98.8
2000-04-03 12:00:00,98444,0.8,-0.14308774802346708,MODERATE,extreme,26.0,1010.4,96.5
2000-04-04 00:00:00,98444,14.0,0.867918700391273,MODERATE,extreme,26.8,1009.2,86.7
2000-04-04 15:00:00,98444,2.0,-0.05117807089485435,MODERATE,extreme,26.2,1009.7,94.2
2000-04-04 18:00:00,98444,2.0,-0.05117807089485435,MODERATE,extreme,24.3,1007.5,98.8
2000-04-05 00:00:00,98444,9.0,0.48496171235538654,MODERATE,extreme,25.0,1008.8,97.1
2000-04-05 09:00:00,98444,6.0,0.25518751953385477,MODERATE,extreme,27.2,1006.9,92.6
2000-04-05 12:00:00,98444,34.0,2.3997466525348186,HIGH,catastrophic,24.5,1008.9,100.0
2000-04-05 15:00:00,98444,37.0,2.62952084535635,HIGH,catastrophic,25.0,1010.6,98.8
2000-04-05 18:00:00,98444,52.0,3.7783918094640088,EXTREME,catastrophic,24.6,1010.1,97.6
2000-04-05 21:00:00,98444,6.0,0.25518751953385477,EXTREME,extreme,23.8,1008.8,97.0
2000-04-06 00:00:00,98444,93.0,6.918639111358277,EXTREME,catastrophic,29.0,1019.5,77.7
2000-04-06 15:00:00,98444,31.0,2.1699724597132866,EXTREME,catastrophic,,,
2000-04-06 18:00:00,98444,34.0,2.3997466525348186,EXTREME,catastrophic,24.4,1010.5,97.0
2000-04-07 00:00:00,98444,75.0,5.539993954429086,EXTREME,catastrophic,24.8,1012.1,98.8
2000-04-07 06:00:00,98444,2.0,-0.05117807089485435,EXTREME,extreme,27.8,1010.8,91.0
2000-04-07 09:00:00,98444,3.0,0.025413326712322923,EXTREME,extreme,27.0,1009.7,91.0
2000-04-07 12:00:00,98444,6.0,0.25518751953385477,EXTREME,extreme,26.2,1011.3,94.2
2000-04-07 21:00:00,98444,2.0,-0.05117807089485435,HIGH,extreme,25.0,1011.1,97.1
2000-04-08 00:00:00,98444,11.0,0.6381445075697411,MODERATE,extreme,25.2,1012.4,95.3
2000-04-08 03:00:00,98444,6.0,0.25518751953385477,MODERATE,extreme,26.6,1012.1,91.0
2000-04-08 06:00:00,98444,6.0,0.25518751953385477,MODERATE,extreme,28.8,1010.3,87.4
2000-04-08 12:00:00,98444,1.0,-0.1277694685020316,MODERATE,extreme,26.2,1010.4,94.2
2000-04-08 21:00:00,98444,1.0,-0.1277694685020316,MODERATE,extreme,25.6,1010.1,95.3
2000-04-09 00:00:00,98444,9.0,0.48496171235538654,MODERATE,extreme,27.1,1011.6,91.0
